Id,SalePrice
2658,136399.4562421415
2718,144186.71430765535
2414,196112.15410603787
1989,112852.99066510887
625,162098.97520330767
333,92825.58548190082
1327,109674.78370601831
858,144101.51915412565
95,183411.29753911673
1568,160600.51538851424
2482,143643.6351230585
1364,129440.85031585321
2584,132007.0040179792
818,252180.64392994496
2673,158227.0539001938
2089,109903.86521066522
1297,140251.4669290726
790,109758.17361017285
2616,174086.24499040825
720,153018.80588026677
222,152466.22269627315
557,133983.706471492
1148,173301.0274779773
2766,166010.7887800776
534,168425.2282399848
1452,117576.011632143
630,108333.2971757619
2648,111509.08929232799
125,157109.951627704
1904,52136.95689295896
1670,108079.38548130746
756,109143.82069799851
717,201290.08966942955
1032,152775.45538619356
852,195951.3663130287
1731,166945.36237541135
2639,110514.10773859678
2071,78593.82962428004
1267,119756.41676720206
1851,194672.43237804197
567,164718.16883982168
2439,190232.92809322328
1898,141783.83994503724
647,153459.18339934456
2256,191892.91407813443
979,88602.34314093115
1444,203011.65264905387
2485,118132.08177642264
157,134994.9222685297
88,126870.89045425807
2003,110428.05749957063
186,179627.71000756312
1425,208826.2466236808
2695,138544.3976204246
738,109292.60181987943
395,152912.4968518441
1353,159991.8824894336
1878,139888.92245935803
390,149906.2114330195
1456,225304.70627922
1103,278557.0389087686
1387,118967.04920020164
2070,134894.41522191203
1199,157567.31768253585
2479,171653.53722257933
501,277971.94676352787
2362,83185.23077360005
1718,199615.18931649678
2188,79882.61679495995
1483,152176.4278333755
2557,100394.02957832011
437,309500.5473088328
2224,201595.93931837718
1628,157628.03741041632
397,139074.71063399425
587,164555.24701829586
971,129646.18538178518
2611,137242.92734145976
1887,101008.3453723545
2399,301767.45374983846
2148,181641.80856644892
304,116172.81987610785
1997,135683.7409806312
2817,102906.90806973797
1431,194518.31111978757
427,277087.8402335258
263,121317.88585445061
598,160873.2660342742
2895,201256.05556578064
687,120399.04946710292
1822,140214.60335569462
2191,88858.65267142867
179,150314.8586696667
1009,194076.66980384543
2010,140854.7686657524
1991,139170.100023674
1411,180599.0698846661
1721,208741.41546959023
1144,190598.29197587387
593,205553.53594868566
575,280404.8822734336
1249,156782.38409410682
1604,130971.7013748785
1064,378349.4004149482
1923,141127.44288681683
1988,110651.91830160655
2325,167928.09469871994
114,183673.20544950347
2700,143255.4736377274
217,104169.98225481095
343,158631.45825978357
386,191956.04881184574
2005,108121.9081739957
2908,132912.62538577686
1814,218994.12519970533
2446,362250.73337867914
208,105419.07942746421
1679,106669.08791770056
822,259331.19105281623
6,188152.43716005774
1781,315484.4728429222
2397,251629.006737285
2340,254814.77502768982
1618,173922.41968854668
2843,126716.28349339351
1061,313321.35003541247
2786,118610.61368983585
1935,138430.0333567725
1341,116394.96626062624
521,236925.2908105029
2136,133887.63699988087
996,196719.10500510503
227,148571.8528963345
135,172514.694607002
1167,174525.84726496032
294,213322.29415465638
1776,196218.20345164556
540,152685.83871339553
1717,198212.53633418574
2303,135238.76763222378
116,172100.283137363
127,150071.4611122521
1371,136705.39630078973
1014,136902.91050611582
1507,86620.5395369416
702,111969.94083261341
750,147715.0493453896
261,150193.64898963747
1559,63505.42823246302
577,203529.17190766396
2812,185761.1641006793
2080,150809.0609012653
1368,101191.14989411974
2376,127236.52145662601
659,110580.628830395
1235,139434.283249115
332,73650.16825070769
1917,154354.34542683023
2094,225064.16987924714
1460,232575.01513773852
1471,205492.0617451603
1509,112062.23376930627
1922,134695.13580189724
433,409762.94965198264
460,217284.04733960278
1116,230847.87608370668
1137,160562.25042739796
53,157832.49751884546
2354,252586.07867332603
1475,179746.11819195753
1761,423817.38694032864
842,140574.85764622936
2739,171168.45064702703
2509,163511.18825629944
1007,191737.77275628314
2610,181889.11676215852
1952,94710.65006100507
2719,143426.38263282453
2921,83073.56614560804
1966,139220.67643992306
292,114785.99225747855
1204,168127.1191975404
1829,249728.30055437086
2419,176458.62501527873
391,140449.597957159
798,100987.7282737502
481,193801.107120015
193,179005.706883344
555,120323.70601543391
899,33631.724199688906
2357,181829.18835096963
328,141370.41805298632
1356,121557.38799213697
1154,109974.19115663106
1730,172728.97973264122
2249,162527.02725655914
1119,262940.3116833968
2856,140377.48212296667
1394,136959.33478917906
2587,106837.91641906474
61,279041.6116212724
2661,161164.03200756715
2711,143927.39991715082
1147,160199.9470259896
757,138210.9084218324
2623,103639.49572876036
2378,123390.13098186275
1413,126900.20181546168
1722,199224.163367478
1112,214305.06810011299
1623,187272.6612738274
1201,174263.14117027776
1513,131056.14981716768
957,295638.1523677914
1171,233045.34622557982
1145,192650.29856476112
2726,197263.73169223435
703,143863.99616979613
760,88547.88728207303
1964,153240.3671338007
2512,182008.96397477025
159,131402.57774088526
1281,151746.4995077312
468,178344.74622900822
290,129677.48520100146
665,101618.54029884911
1463,223858.86322053793
1792,228322.6735191425
923,163547.0152445833
500,241012.69642373093
1408,162575.0543970913
331,85450.95015184605
170,118615.70772732775
2192,92688.08852329753
2571,233341.0322704448
2314,173618.61273359138
2647,97600.02019735439
422,335895.443292986
2457,312574.89260720916
1838,185795.46791921515
2805,210926.14509220634
1645,149480.16147728366
1711,269253.1927784942
2825,212284.32962881133
322,277860.3462433077
2103,212745.71789698343
342,123106.36548737172
600,139049.7958415414
488,174196.50031226638
1725,240340.3033745542
2246,256014.46379498643
2847,156350.0432937148
806,217913.8621816566
530,227986.252583733
963,186600.8652627555
2678,92287.45784551192
171,79227.84408686981
2401,341256.8074229569
805,212224.90950841652
2259,195506.6510320881
1748,180272.47028146946
1361,141158.15111753158
1677,104847.61517519188
1406,135443.16692900416
2322,208494.4276705763
688,146104.0719337475
143,137138.59113508
804,194815.78227458373
1214,159713.6469881494
2828,144130.86677245214
1999,176352.0869453774
2467,201655.64956591523
2665,158192.1812813594
1538,281116.58168996556
398,119793.72067790118
2822,134491.7950994631
2157,146617.8369415231
1856,195709.33811200858
1269,97255.32563009078
2570,117869.4150123088
2320,214742.2758432498
1517,129113.7004589519
2304,129299.61919525154
1312,99272.98971743674
2012,136604.73770407826
506,226309.69320696063
2865,199438.53348413153
2367,93832.7557850339
554,82960.13221552393
238,122747.525139443
1954,111197.56884742841
2488,123876.11461990347
2291,77238.72626368287
1969,109148.34028177583
2725,149951.5261926166
1482,148078.0264780519
2763,181726.57652414366
503,246389.38584651856
1584,222490.0582370167
1531,144664.99488839076
2210,156506.20653973435
459,263494.57835140557
556,123643.64991327244
1347,125465.16993415354
1290,91592.54130083405
1388,95854.22305950559
1571,222298.2696920848
2754,181086.31439516804
765,126255.80147064148
2494,124385.0567082416
2870,232857.9625338694
7,204492.98866427457
1114,242537.409323299
2418,232681.24061035647
291,122817.36563027806
18,286887.21721059235
39,302404.0735430028
1001,232252.95690312015
2442,204175.68130161293
616,117254.40000633034
2680,74060.92395904705
1414,113359.37050961558
289,153686.65179883016
40,229800.7691619459
860,126919.62119344602
409,119897.56290356969
673,145786.13841538888
2427,163050.5137690925
2036,195134.90818031892
2564,140015.107568622
642,135662.92361585973
1008,170900.41163468643
1908,123214.44252905773
2519,194277.43295519627
1369,85362.6525043881
2855,167072.42291043454
712,107562.01728789593
1943,90633.95302857592
1958,113053.32810941667
107,168646.30333268704
2295,178461.32144034636
704,95106.4737284077
676,150725.75423567265
259,185220.7954785148
93,259628.55163046363
106,235345.35970130184
2315,169925.4845833578
1050,105744.46498005469
1095,198354.26804373448
2709,146538.27340490266
758,120258.26433212415
1496,143991.2463581779
2370,114632.98067677589
2458,214604.42886589002
2733,124707.44219668448
161,217758.43670702676
726,157962.26180245195
845,193749.46382839244
947,236947.3227240942
2232,99746.17781912572
2563,135964.00931154753
2299,121226.02737261142
211,57710.38876777934
605,141557.4409758022
1478,176869.65302000468
2247,251741.6359019166
2274,188120.26865858433
2869,199690.90370734775
967,205186.09805243023
2656,121583.67688323557
667,177404.26239741952
1042,100476.98282110011
2023,159943.44048577757
2447,308170.50679801474
2055,132614.93576381015
2275,238618.66924018704
2204,175007.8730358317
1563,252548.9084578759
483,213442.90693827975
796,127510.91340336463
1526,165050.8304890015
2042,120763.2686567909
442,287551.91256535106
1693,278592.4617696906
1468,210638.94399912911
1430,177389.26642718184
2605,118017.01996779436
1529,200308.29173627106
335,141489.88002826445
1287,112570.90028437818
31,86661.63872368958
1785,287261.17563382105
82,159088.7292321168
2620,129058.71586795215
252,176518.66740453435
721,58250.73099924615
2165,170204.5259928447
2316,180264.54832114736
775,141532.29034192133
1558,99970.74567706093
17,204041.759810827
1022,201535.85638277605
925,131836.33935762104
438,241920.75173484755
1270,143256.3003578434
1272,141450.27778116873
215,116572.65184761136
266,209051.99743425645
2402,260489.42904320787
1250,124818.52316353461
1984,116048.00496682047
1279,146634.70778331108
377,220035.45060751104
1252,106155.19623844305
2156,234814.42233966605
499,279869.1608831495
1374,136759.60614073375
2898,237035.0163975227
401,105013.49096491226
2721,147094.73615954403
2078,199936.3852238246
2589,131408.6662002316
1946,233614.81141772622
1334,110468.46511547064
2781,200017.8396825391
431,319630.82738050935
576,196424.03923070425
1474,204066.3182856079
2254,153969.85009666102
2155,242638.69049074064
885,89895.32601376805
643,139434.98330809726
1944,132556.6909877839
480,180304.8992492117
2845,89436.94901477825
2387,271348.1068766348
2407,189601.7162366872
2527,160316.32744884808
2514,151990.85164702137
629,131097.3403276042
80,172579.05418266333
1876,138244.06075795912
1546,121200.79102617872
2518,177810.60828308892
